schemaVersion,recordType,source_name,source_url,title,authors,paper_url,github_url,github_stars,published_date,collectedAt
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27142v1,GRAIN: Bridging Name and Narrative Shifts in Real-World Graph Reasoning through Invariance-Rewarded Agentic RL,"[""Zike Yuan"", ""Han Zhang"", ""Jianzhi Yan"", ""Le Liu"", ""Cai Ke"", ""Huozhi Zhou"", ""Jian Xie"", ""Jiran Yin"", ""Yukun Cao"", ""Yue Yu"", ""Hui Wang"", ""Ming Liu"", ""Bing Qin""]",https://arxiv.org/abs/2608.27142v1,,,2026-08-27T13:53:52Z,2026-08-28T12:32:41.186713+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27141v1,Safety Does Not Compose: Non-Decaying Loop State for Autonomous LLM Agents,"[""Chenhao Wu"", ""Haoxuan Jia"", ""Yang Liu"", ""Yingguang Yang"", ""Yuhan Lin"", ""Chongyang Zhang"", ""Hao Zheng"", ""Yulin Huang"", ""Jianshen Zhang"", ""Yongzhi Qi"", ""Shang Luo"", ""Kefu Xu"", ""Jifeng Zhu"", ""Bin Chong""]",https://arxiv.org/abs/2608.27141v1,,,2026-08-27T13:52:31Z,2026-08-28T12:32:41.186791+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27127v1,TransMeme: A Multi-Agent Framework for Cross-Cultural Meme Transcreation,"[""Jingyi Zheng"", ""Yule Liu"", ""Zifan Peng"", ""Tianyi Hu"", ""Yuemeng Zhao"", ""Xinhu Zheng"", ""Xinlei He""]",https://arxiv.org/abs/2608.27127v1,,,2026-08-27T13:40:11Z,2026-08-28T12:32:41.186855+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27102v1,LAAF: A Layered Accountability Architecture Framework for LLM Applications,"[""Prachi Chaturvedi"", ""Shahnawaz Ahmad"", ""Ehsan Nowroozi"", ""Muhammad Waqas"", ""George Loukas"", ""Alireza Jolfaei"", ""Lucas Cordeiro"", ""Pierre Dantas""]",https://arxiv.org/abs/2608.27102v1,,,2026-08-27T13:18:26Z,2026-08-28T12:32:41.186920+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27101v1,pro-team at LLMs4OL 2026 Tasks Flagship and Reuse: Retrieval-Augmented Generation and Vocabulary-Constrained Filtering for Ontology Learning,"[""Shivam Mishra"", ""Dhannu Ram Meena"", ""Muneendra Ojha"", ""Krishna Pratap Singh"", ""Kuldeep Singh""]",https://arxiv.org/abs/2608.27101v1,,,2026-08-27T13:16:55Z,2026-08-28T12:32:41.186969+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27088v1,Active sensing to characterize the heterogeneity of plant stress,"[""Ayman Laaroussi"", ""Peter Hanappe"", ""David Colliaux""]",https://arxiv.org/abs/2608.27088v1,,,2026-08-27T13:11:13Z,2026-08-28T12:32:41.187015+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27086v1,A Contract-Centered Architecture for Scalable and Manageable Agentic Runtimes,"[""Yaxiao Liu"", ""Pengbo Liu"", ""Yiwen Liu"", ""Yihua Guan"", ""Zhenghe Hou"", ""Jiaxing Song""]",https://arxiv.org/abs/2608.27086v1,,,2026-08-27T13:09:49Z,2026-08-28T12:32:41.187075+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27080v1,Active Diffusion-Based Inference for Ill-Posed Inverse Problems under Incomplete Priors,"[""Jitao Xu"", ""Nobuo Sato"", ""Yaohang Li""]",https://arxiv.org/abs/2608.27080v1,,,2026-08-27T13:06:56Z,2026-08-28T12:32:41.187117+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27077v1,Learning Transverse Momentum Distributions from Raw Scattering Events via Conditional Diffusion,"[""Jitao Xu"", ""Christopher Cocuzza"", ""Kevin Braga"", ""Daniel Lersch"", ""Nobuo Sato"", ""Yaohang Li""]",https://arxiv.org/abs/2608.27077v1,,,2026-08-27T13:01:49Z,2026-08-28T12:32:41.187160+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27072v1,Emotional Preferences as Goal-Priority Regulation,"[""Shiqi Liu"", ""Yihua Tan"", ""Hu Fu"", ""Guanyu Qi""]",https://arxiv.org/abs/2608.27072v1,,,2026-08-27T12:58:09Z,2026-08-28T12:32:41.187221+00:00
