schemaVersion,recordType,source_name,source_url,entityName,employeeCount,collectedAt
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/picktrace,Picktrace,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/fountain,Fountain,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/microhealth,Microhealth,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/zeplin,Zeplin,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/markhor,Markhor,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/circle-medical,Circle Medical,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/givecampus,Givecampus,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/drip-capital,Drip Capital,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/chaldal,Chaldal,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/clerky,Clerky,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/bodyport,Bodyport,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/verge-genomics,Verge Genomics,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/thrive-agritech,Thrive Agritech,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/tesorio,Tesorio,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/agilemd,Agilemd,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/reach,Reach,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/sunfarmer,Sunfarmer,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/confident-lims,Confident Lims,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/branch8,Branch8,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/heroic-labs,Heroic Labs,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/snapmagic,Snapmagic,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/assembly,Assembly,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/gemnote,Gemnote,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/new-story,New Story,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/ironclad,Ironclad,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/leaders-in-tech,Leaders In Tech,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/teabot,Teabot,,2026-08-28T06:27:01.887983+00:00
