organization,official_website,logo_url,verification_status,source_type
sahilchachra,https://huggingface.co/sahilchachra/Unlimited-OCR-AWQ,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
gaunernst,https://huggingface.co/gaunernst/gemma-3-27b-it-int4-awq,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
RedHatAI,https://huggingface.co/RedHatAI/Qwen3.6-35B-A3B-NVFP4,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
michaelfeil,https://huggingface.co/michaelfeil/bge-small-en-v1.5,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
prithivida,https://huggingface.co/prithivida/parrot_paraphraser_on_T5,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
WhereIsAI,https://huggingface.co/WhereIsAI/UAE-Large-V1,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
Lightricks,https://www.lightricks.com/,https://www.google.com/s2/favicons?domain=lightricks.com&sz=128,verified_official,known_official_mapping
hmellor,https://huggingface.co/hmellor/tiny-random-LlamaForCausalLM,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
NbAiLab,https://huggingface.co/NbAiLab/nb-wav2vec2-1b-nynorsk,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
CIDAS,https://huggingface.co/CIDAS/clipseg-rd64-refined,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
0bserverx,https://huggingface.co/0bserverx/Qwen3.8-27B-Heretic-Abliterated-Uncensored-GGUF,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
arijitx,https://huggingface.co/arijitx/wav2vec2-xls-r-300m-bengali,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
sshleifer,https://huggingface.co/sshleifer/tiny-gpt2,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
